Simply click a yellow cell and paste the three column data from the Adruino Serial Monitor (Close and Reopen the Serial Monitor each time),,,,,,,,,,,,,*Rise Time*,,,,,,,,,,,,Goated Trial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Time Constant:
,Trial 1,Max input amplitude,0.5075,,Trial 2,Max input amplitude,0.5145,,Trial 3,Max input amplitude,0.501,,Trial 4,Max input amplitude,0.5075,,Trial 5,Max input amplitude,0.5075,,Trial 6,Max input amplitude,0.4605,,Trial 7,Max input amplitude,0.501,,Trial 8,Max input amplitude,0.4535,,Trial 9,Max input amplitude,0.3995,,Trial 10,Max input amplitude,0.352,,Trial 11,Max input amplitude,0.291,,Trial 12,Max input amplitude,0.291,,Trial 13,Max input amplitude,0.291,,Trial 14,Max input amplitude,0.291,,0.01534
,Kp = 100,Max output amplitude,0,,Kp = 110,Max output amplitude,0,,Kp = 80,Max output amplitude,0,,Kp = 90,Max output amplitude,0,,Kp = 90,Max output amplitude,0,,Kp = 90,Max output amplitude,0,,Kp = 90,Max output amplitude,0,,Kp = 90,Max output amplitude,0,,Kp = 90,Max output amplitude,0,,Kp = 90,Max output amplitude,0,,Kp = 90,Max output amplitude,0,,Kp = 90,Max output amplitude,0,,Kp = 90,Max output amplitude,0,,Kp = 90,Max output amplitude,0,,
,Kd = 0,,,,Kd = 0,,,,Kd = 0,,,,Kd = 0,,,,Kd = 0.1,,,,Kd = 0.5,,,,Kd = 0.2,,,,Kd = 0.75,,,,Kd = 1.5,,,,Kd = 3,,,,Kd = 4,,,,Kd = 4.5,,,,Kd = 5,,,,Kd = 4.75,,,,
,DesFreq,1,,,DesFreq,1,,,DesFreq,1,,,DesFreq,1,,,DesFreq,1,,,DesFreq,1,,,DesFreq,1,,,DesFreq,1,,,DesFreq,1,,,DesFreq,1,,,DesFreq,1,,,DesFreq,1,,,DesFreq,1,,,DesFreq,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Time,Position,Desired Position,,Time,Position,Desired Position,,Time,Position,Desired Position,,Time,Position,Desired Position,,Time,Position,Desired Position,,Time,Position,Desired Position,,Time,Position,Desired Position,,Time,Position,Desired Position,,Time,Position,Desired Position,,Time,Position,Desired Position,,Time,Position,Desired Position,,Time,Position,Desired Position,,Time,Position,Desired Position,,Time,Position,Desired Position,,
,0.0021,0,1,,0.0021,0,1,,0.0021,0,1,,0.0021,0,1,,0.0021,0,1,,0.0021,0,1,,0.0021,0,1,,0.0021,0,1,,0.0021,0,1,,0.0021,0,1,,0.0021,0,1,,0.0021,0,1,,0.0021,0,1,,0.0021,0,1,,
,0.0041,0,1,,0.0041,0,1,,0.0041,0,1,,0.0041,0,1,,0.0041,0,1,,0.0041,0.014,1,,0.0041,0.014,1,,0.0041,0.014,1,,0.0041,0.014,1,,0.0041,0.014,1,,0.0041,0.014,1,,0.0041,0.014,1,,0.0041,0.014,1,,0.0041,0.014,1,,
,0.0061,0.014,1,,0.0061,0.014,1,,0.0061,0.014,1,,0.0061,0.014,1,,0.0061,0.014,1,,0.0061,0.027,1,,0.0061,0.027,1,,0.0061,0.027,1,,0.0061,0.027,1,,0.0061,0.027,1,,0.0061,0.027,1,,0.0061,0.027,1,,0.0061,0.027,1,,0.0061,0.027,1,,
,0.0081,0.027,1,,0.0081,0.027,1,,0.0081,0.014,1,,0.0081,0.014,1,,0.0081,0.014,1,,0.0081,0.027,1,,0.0081,0.027,1,,0.0081,0.041,1,,0.0081,0.041,1,,0.0081,0.027,1,,0.0081,0.027,1,,0.0081,0.027,1,,0.0081,0.027,1,,0.0081,0.027,1,,
,0.0101,0.027,1,,0.0101,0.041,1,,0.0101,0.027,1,,0.0101,0.027,1,,0.0101,0.027,1,,0.0101,0.041,1,,0.0101,0.041,1,,0.0101,0.054,1,,0.0101,0.054,1,,0.0101,0.041,1,,0.0101,0.041,1,,0.0101,0.041,1,,0.0101,0.041,1,,0.0101,0.041,1,,
