,0.04,,,,,
4,870,0,0.23,,,
13865,0,0.7,0.16,,,
13866,0,0.7,0.11,,,
13867,0,0.7,0.08,,,
13868,0,0.7,0.05,,,
13869,0,0.7,0.04,,,
13870,0,0.7,0.03,,,
5,0,0.7,0.16,,,
13866,0,0.7,0.11,,,
13867,0,0.7,0.08,,,
13868,0,0.7,0.05,,,
13869,0,0.7,0.04,,,
13870,0,0.7,0.03,,,
13871,1,0.7,0.32,,,
13872,1,0.7,0.53,,,
13873,1,0.7,0ÓSHø1,0,0.7,0
2,0,0.7,0,,,
3,0,0.7,0,,,
4,0,0.7,0,,,
5,0,0.7,0,,,
6,0,0.7,0,,,
7,0,0.7,0,,,
8,0,0.7,0,,,
9,0,0.7,0,,,
10,0,0.7,0,,,
11,1,0.7,0.3,,,
12,1,0.7,0.51,,,
13,1,0.7,0.66,,,
14,1,0.7,0.76,,,
15,1,0.7,0.83,,,
16,1,0.7,0.88,,,
17,1,0.7,0.92,,,
18,1,0.7,0.94,,,
19,1,0.7,0.96,,,
20,1,0.7,0.97,,,
21,0,0.7,0.68,,,
22,0,0.7,0.47,,,
23,0,0.7,0.33,,,
24,0,0.7,0.23,,,
25,0,0.7,0.16,,,
26,0,0.7,0.11,,,
27,0,0.7,0.08,,,
28,0,0.7,0.05,,,
29,0,0.7,0.04,,,
30,0,0.7,0.03,,,
31,1,0.7,0.32,,,
32,1,0.7,0.53,,,
33,1,0.7,0.67,,,
34,1,0.7,0.77,,,
35,1,0.7,0.84,,,
36,1,0.7,0.89,,,
37,1,0.7,0.92,,,
38,1,0.7,0.95,,,
39,1,0.7,0.96,,,
40,1,0.7,0.97,,,
41,0,0.7,0.68,,,
42,0,0.7,0.47,,,
43,0,0.7,0.33,,,
44,0,0.7,0.23,,,
45,0,0.7,0.16,,,
46,0,0.7,0.11,,,
47,0,0.7,0.08,,,
48,0,0.7,0.05,,,
49,0,0.7,0.04,,,
50,0,0.7,0.03,,,
51,1,0.7,0.32,,,
52,1,0.7,0.53,,,
53,1,0.7,0.67,,,
54,1,0.7,0.77,,,
55,1,0.7,0.84,,,
56,1,0.7,0.89,,,
57,1,0.7,0.92,,,
58,1,0.7,0.95,,,
59,1,0.7,0.96,,,
60,1,0.7,0.97,,,
61,0,0.7,0.68,,,
62,0,0.7,0.47,,,
63,0,0.7,0.33,,,
64,0,0.7,0.23,,,
65,0,0.7,0.16,,,
66,0,0.7,0.11,,,
67,0,0.7,0.08,,,
68,0,0.7,0.05,,,
69,0,0.7,0.04,,,
70,0,0.7,0.03,,,
71,1,0.7,0.32,,,
72,1,0.7,0.53,,,
73,1,0.7,0.67,,,
74,1,0.7,0.77,,,
75,1,0.7,0.84,,,
76,1,0.7,0.89,,,
77,1,0.7,0.92,,,
78,1,0.7,0.95,,,
79,1,0.7,0.96,,,
80,1,0.7,0.97,,,
81,0,0.7,0.68,,,
82,0,0.7,0.47,,,
83,0,0.7,0.33,,,
84,0,0.7,0.23,,,
85,0,0.7,0.16,,,
86,0,0.7,0.11,,,
87,0,0.7,0.08,,,
88,0,0.7,0.05,,,
89,0,0.7,0.04,,,
90,0,0.7,0.03,,,
91,1,0.7,0.32,,,
92,1,0.7,0.53,,,
93,1,0.7,0.67,,,
94,1,0.7,0.77,,,
95,1,0.7,0.84,,,
96,1,0.7,0.89,,,
97,1,0.7,0.92,,,
98,1,0.7,0.95,,,
99,1,0.7,0.96,,,
100,1,0.7,0.97,,,
101,0,0.7,0.68,,,
102,0,0.7,0.47,,,
103,0,0.7,0.33,,,
104,0,0.7,0.23,,,
105,0,0.7,0.16,,,
106,0,0.7,0.11,,,
107,0,0.7,0.08,,,
108,0,0.7,0.05,,,
109,0,0.7,0.04,,,
110,0,0.7,0.03,,,
111,1,0.7,0.32,,,
112,1,0.7,0.53,,,
