,,Solenoid 1,,Magentometer 1,,,,Solenoid 2,,Magnetometer 2
üSolenoid,Switch:,0,Magnetometer:,77.98,,ÿSolenoid,Switch:,0,Magnetometer:,112.78
Solenoid,Switch:,0,Magnetometer:,78.05,,Solenoid,Switch:,0,Magnetometer:,119.42
Solenoid,Switch:,0,Magnetometer:,77.11,,Solenoid,Switch:,0,Magnetometer:,122.15
Solenoid,Switch:,0,Magnetometer:,78.24,,Solenoid,Switch:,0,Magnetometer:,117.18
Solenoid,Switch:,0,Magnetometer:,78.29,,Solenoid,Switch:,0,Magnetometer:,123.66
Solenoid,Switch:,0,Magnetometer:,77.97,,Solenoid,Switch:,0,Magnetometer:,116.52
Solenoid,Switch:,0,Magnetometer:,78.1,,Solenoid,Switch:,0,Magnetometer:,112.22
Solenoid,Switch:,0,Magnetometer:,77.47,,Solenoid,Switch:,0,Magnetometer:,118.86
Solenoid,Switch:,0,Magnetometer:,76.99,,Solenoid,Switch:,0,Magnetometer:,118.47
Solenoid,Switch:,0,Magnetometer:,78.2,,Solenoid,Switch:,0,Magnetometer:,114.64
Solenoid,Switch:,0,Magnetometer:,78.58,,Solenoid,Switch:,0,Magnetometer:,119.06
Solenoid,Switch:,0,Magnetometer:,77.6,,Solenoid,Switch:,0,Magnetometer:,122.55
Solenoid,Switch:,0,Magnetometer:,77.84,,Solenoid,Switch:,0,Magnetometer:,123.11
Solenoid,Switch:,0,Magnetometer:,78.3,,Solenoid,Switch:,0,Magnetometer:,113.78
Solenoid,Switch:,0,Magnetometer:,78.8,,Solenoid,Switch:,0,Magnetometer:,118.91
Solenoid,Switch:,0,Magnetometer:,77.8,,Solenoid,Switch:,0,Magnetometer:,111.44
Solenoid,Switch:,0,Magnetometer:,78.01,,Solenoid,Switch:,0,Magnetometer:,114.48
Solenoid,Switch:,0,Magnetometer:,78.52,,Solenoid,Switch:,0,Magnetometer:,123.21
Solenoid,Switch:,0,Magnetometer:,78.4,,Solenoid,Switch:,0,Magnetometer:,119.2
Solenoid,Switch:,0,Magnetometer:,77.68,,Solenoid,Switch:,0,Magnetometer:,117.39
Solenoid,Switch:,0,Magnetometer:,77.95,,Solenoid,Switch:,0,Magnetometer:,117.87
Solenoid,Switch:,0,Magnetometer:,76.73,,Solenoid,Switch:,0,Magnetometer:,117.22
Solenoid,Switch:,0,Magnetometer:,77.59,,Solenoid,Switch:,0,Magnetometer:,117.33
Solenoid,Switch:,0,Magnetometer:,79.36,,Solenoid,Switch:,0,Magnetometer:,124.87
Solenoid,Switch:,1,Magnetometer:,77.87,,Solenoid,Switch:,1,Magnetometer:,123.01
Solenoid,Switch:,1,Magnetometer:,197.35,,Solenoid,Switch:,1,Magnetometer:,117.56
Solenoid,Switch:,1,Magnetometer:,197.52,,Solenoid,Switch:,1,Magnetometer:,119.82
Solenoid,Switch:,1,Magnetometer:,197.34,,Solenoid,Switch:,1,Magnetometer:,111.85
Solenoid,Switch:,1,Magnetometer:,197.19,,Solenoid,Switch:,1,Magnetometer:,115.23
Solenoid,Switch:,1,Magnetometer:,197.61,,Solenoid,Switch:,1,Magnetometer:,113.44
Solenoid,Switch:,1,Magnetometer:,197.78,,Solenoid,Switch:,1,Magnetometer:,116.56
Solenoid,Switch:,1,Magnetometer:,197.38,,Solenoid,Switch:,1,Magnetometer:,118.25
Solenoid,Switch:,1,Magnetometer:,198.02,,Solenoid,Switch:,1,Magnetometer:,115.21
Solenoid,Switch:,1,Magnetometer:,197.46,,Solenoid,Switch:,1,Magnetometer:,119.35
